deal_id,company_id,rep_id,deal_name,product,deal_value,stage,probability,created_date,close_date,expected_close_date,loss_reason,deal_velocity_days,weighted_value
D00049,C0260,R003,PipelineIQ Starter — Deal 0049,PipelineIQ Starter,5872.43,Closed Won,100,2024-05-01,2024-06-22,,,52.0,5872.43
D00050,C0045,R001,PipelineIQ Starter — Deal 0050,PipelineIQ Starter,14066.16,Closed Won,100,2023-01-25,2023-02-15,,,21.0,14066.16
D00051,C0135,R005,PipelineIQ Enterprise — Deal 0051,PipelineIQ Enterprise,87358.14,Prospecting,10,2024-01-18,,2024-03-30,,,8735.81
D00052,C0060,R002,PipelineIQ Pro — Deal 0052,PipelineIQ Pro,17338.66,Negotiation,75,2024-08-19,,2024-10-11,,,13003.99
D00053,C0201,R003,PipelineIQ Enterprise — Deal 0053,PipelineIQ Enterprise,57951.15,Qualification,25,2023-05-17,,2023-08-15,,,14487.79
D00054,C0341,R001,PipelineIQ Starter — Deal 0054,PipelineIQ Starter,8718.59,Proposal,50,2023-04-26,,2023-07-03,,,4359.3
D00055,C0441,R002,PipelineIQ Pro — Deal 0055,PipelineIQ Pro,35495.05,Prospecting,10,2023-11-24,,2023-12-26,,,3549.51
D00056,C0110,R004,PipelineIQ Pro — Deal 0056,PipelineIQ Pro,43042.89,Prospecting,10,2024-05-04,,2024-07-05,,,4304.29
D00057,C0342,R005,PipelineIQ Starter — Deal 0057,PipelineIQ Starter,6724.18,Proposal,50,2023-03-14,,2023-04-02,,,3362.09
D00058,C0038,R001,PipelineIQ Starter — Deal 0058,PipelineIQ Starter,13578.46,Prospecting,10,2024-05-04,,2024-07-09,,,1357.85
D00059,C0481,R004,PipelineIQ Enterprise — Deal 0059,PipelineIQ Enterprise,82946.54,Proposal,50,2024-10-02,,2024-11-18,,,41473.27
D00060,C0400,R004,PipelineIQ Starter — Deal 0060,PipelineIQ Starter,13279.76,Qualification,25,2023-02-13,,2023-03-27,,,3319.94
D00061,C0311,R003,PipelineIQ Pro — Deal 0061,PipelineIQ Pro,15968.28,Negotiation,75,2024-02-05,,2024-04-03,,,11976.21
D00062,C0331,R005,PipelineIQ Starter — Deal 0062,PipelineIQ Starter,12486.09,Prospecting,10,2024-06-05,,2024-07-28,,,1248.61
D00063,C0222,R003,PipelineIQ Enterprise — Deal 0063,PipelineIQ Enterprise,81457.03,Proposal,50,2024-05-24,,2024-06-03,,,40728.51
D00064,C0396,R001,PipelineIQ Enterprise — Deal 0064,PipelineIQ Enterprise,56182.8,Prospecting,10,2024-12-22,,2025-01-10,,,5618.28
D00065,C0414,R003,PipelineIQ Enterprise — Deal 0065,PipelineIQ Enterprise,57989.71,Qualification,25,2024-04-20,,2024-07-13,,,14497.43
D00066,C0262,R003,PipelineIQ Pro — Deal 0066,PipelineIQ Pro,25622.39,Proposal,50,2023-11-12,,2024-01-12,,,12811.19
D00067,C0473,R005,PipelineIQ Pro — Deal 0067,PipelineIQ Pro,28513.28,Closed Won,100,2024-12-12,2024-12-31,,,19.0,28513.28
D00068,C0173,R005,PipelineIQ Enterprise — Deal 0068,PipelineIQ Enterprise,171040.96,Negotiation,75,2023-05-21,,2023-07-21,,,128280.72
D00069,C0033,R005,PipelineIQ Starter — Deal 0069,PipelineIQ Starter,11914.24,Closed Lost,0,2024-06-13,2024-08-31,,No decision made,79.0,0.0
D00070,C0161,R003,PipelineIQ Pro — Deal 0070,PipelineIQ Pro,37019.25,Closed Lost,0,2024-08-31,2024-11-05,,Chose competitor,66.0,0.0
D00071,C0423,R003,PipelineIQ Pro — Deal 0071,PipelineIQ Pro,46752.62,Proposal,50,2023-11-10,,2023-12-05,,,23376.31
D00072,C0343,R003,PipelineIQ Pro — Deal 0072,PipelineIQ Pro,33118.51,Qualification,25,2024-09-04,,2024-10-29,,,8279.63
D00073,C0098,R002,PipelineIQ Enterprise — Deal 0073,PipelineIQ Enterprise,87670.56,Proposal,50,2024-12-05,,2025-01-12,,,43835.28
D00074,C0409,R005,PipelineIQ Enterprise — Deal 0074,PipelineIQ Enterprise,187195.93,Negotiation,75,2023-11-25,,2023-12-22,,,140396.95
D00075,C0106,R003,PipelineIQ Pro — Deal 0075,PipelineIQ Pro,35361.22,Prospecting,10,2024-10-15,,2024-11-16,,,3536.12
D00076,C0255,R002,PipelineIQ Enterprise — Deal 0076,PipelineIQ Enterprise,207989.01,Closed Won,100,2024-10-25,2024-12-31,,,67.0,207989.01
D00077,C0276,R003,PipelineIQ Pro — Deal 0077,PipelineIQ Pro,23597.18,Proposal,50,2024-08-04,,2024-10-02,,,11798.59
D00078,C0417,R003,PipelineIQ Pro — Deal 0078,PipelineIQ Pro,20121.9,Proposal,50,2023-05-08,,2023-06-26,,,10060.95
D00079,C0233,R002,PipelineIQ Enterprise — Deal 0079,PipelineIQ Enterprise,246773.51,Prospecting,10,2023-09-18,,2023-11-21,,,24677.35
D00080,C0137,R005,PipelineIQ Enterprise — Deal 0080,PipelineIQ Enterprise,166716.72,Qualification,25,2024-03-06,,2024-04-01,,,41679.18
D00081,C0244,R004,PipelineIQ Starter — Deal 0081,PipelineIQ Starter,14815.78,Proposal,50,2024-09-01,,2024-09-15,,,7407.89
D00082,C0390,R002,PipelineIQ Pro — Deal 0082,PipelineIQ Pro,28540.96,Prospecting,10,2023-05-06,,2023-06-22,,,2854.1
D00083,C0138,R001,PipelineIQ Starter — Deal 0083,PipelineIQ Starter,5410.35,Prospecting,10,2024-07-15,,2024-09-22,,,541.04
D00084,C0291,R004,PipelineIQ Starter — Deal 0084,PipelineIQ Starter,12838.71,Closed Lost,0,2023-07-29,2023-08-04,,No decision made,6.0,0.0
D00085,C0221,R005,PipelineIQ Starter — Deal 0085,PipelineIQ Starter,5098.56,Qualification,25,2023-10-11,,2023-11-17,,,1274.64
D00086,C0182,R005,PipelineIQ Starter — Deal 0086,PipelineIQ Starter,7304.88,Proposal,50,2023-10-01,,2023-12-11,,,3652.44
D00087,C0413,R003,PipelineIQ Starter — Deal 0087,PipelineIQ Starter,6517.03,Proposal,50,2023-08-14,,2023-09-05,,,3258.51
D00088,C0380,R002,PipelineIQ Pro — Deal 0088,PipelineIQ Pro,22109.94,Proposal,50,2023-04-04,,2023-06-17,,,11054.97
D00089,C0127,R004,PipelineIQ Enterprise — Deal 0089,PipelineIQ Enterprise,245734.5,Qualification,25,2023-05-08,,2023-05-21,,,61433.62
D00090,C0144,R002,PipelineIQ Pro — Deal 0090,PipelineIQ Pro,22734.07,Proposal,50,2023-06-27,,2023-07-26,,,11367.03
D00091,C0435,R004,PipelineIQ Starter — Deal 0091,PipelineIQ Starter,5031.68,Negotiation,75,2024-08-16,,2024-11-01,,,3773.76
D00092,C0227,R001,PipelineIQ Pro — Deal 0092,PipelineIQ Pro,30615.78,Qualification,25,2024-02-23,,2024-04-20,,,7653.94
D00093,C0278,R005,PipelineIQ Starter — Deal 0093,PipelineIQ Starter,12391.64,Qualification,25,2024-01-25,,2024-01-28,,,3097.91
D00094,C0165,R004,PipelineIQ Pro — Deal 0094,PipelineIQ Pro,22179.51,Negotiation,75,2024-06-20,,2024-08-03,,,16634.63
D00095,C0191,R004,PipelineIQ Starter — Deal 0095,PipelineIQ Starter,9990.32,Proposal,50,2024-09-13,,2024-10-10,,,4995.16
D00096,C0107,R004,PipelineIQ Starter — Deal 0096,PipelineIQ Starter,12034.56,Proposal,50,2023-06-22,,2023-08-13,,,6017.28
D00097,C0195,R002,PipelineIQ Starter — Deal 0097,PipelineIQ Starter,8142.12,Qualification,25,2023-10-25,,2023-11-24,,,2035.53
D00098,C0034,R005,PipelineIQ Enterprise — Deal 0098,PipelineIQ Enterprise,225546.11,Closed Lost,0,2023-09-07,2023-11-29,,No decision made,83.0,0.0
D00099,C0196,R005,PipelineIQ Pro — Deal 0099,PipelineIQ Pro,39957.44,Prospecting,10,2023-12-20,,2024-02-05,,,3995.74
D00100,C0131,R004,PipelineIQ Starter — Deal 0100,PipelineIQ Starter,9909.57,Negotiation,75,2023-04-02,,2023-05-28,,,7432.18
D00101,C0087,R003,PipelineIQ Pro — Deal 0101,PipelineIQ Pro,22999.49,Qualification,25,2024-05-05,,2024-05-26,,,5749.87
D00102,C0434,R005,PipelineIQ Starter — Deal 0102,PipelineIQ Starter,13536.47,Proposal,50,2024-06-27,,2024-07-23,,,6768.23
D00103,C0048,R002,PipelineIQ Starter — Deal 0103,PipelineIQ Starter,14791.61,Qualification,25,2023-04-03,,2023-04-24,,,3697.9
D00104,C0232,R001,PipelineIQ Enterprise — Deal 0104,PipelineIQ Enterprise,189062.56,Prospecting,10,2024-06-21,,2024-07-24,,,18906.26
D00105,C0210,R003,PipelineIQ Starter — Deal 0105,PipelineIQ Starter,7931.53,Closed Won,100,2023-07-10,2023-08-09,,,30.0,7931.53
D00106,C0294,R001,PipelineIQ Pro — Deal 0106,PipelineIQ Pro,20832.01,Prospecting,10,2024-09-27,,2024-10-04,,,2083.2
D00107,C0241,R002,PipelineIQ Enterprise — Deal 0107,PipelineIQ Enterprise,206620.15,Closed Won,100,2023-10-23,2024-01-02,,,71.0,206620.15
D00108,C0035,R002,PipelineIQ Pro — Deal 0108,PipelineIQ Pro,46322.27,Qualification,25,2024-09-09,,2024-09-19,,,11580.57
D00109,C0284,R005,PipelineIQ Starter — Deal 0109,PipelineIQ Starter,7690.44,Negotiation,75,2023-05-08,,2023-07-07,,,5767.83
D00110,C0167,R002,PipelineIQ Pro — Deal 0110,PipelineIQ Pro,40312.3,Prospecting,10,2023-09-09,,2023-09-11,,,4031.23
D00111,C0459,R001,PipelineIQ Starter — Deal 0111,PipelineIQ Starter,12663.5,Proposal,50,2024-05-27,,2024-07-31,,,6331.75
D00112,C0124,R004,PipelineIQ Starter — Deal 0112,PipelineIQ Starter,8938.06,Prospecting,10,2023-06-09,,2023-06-26,,,893.81
D00113,C0233,R003,PipelineIQ Enterprise — Deal 0113,PipelineIQ Enterprise,216855.98,Proposal,50,2024-04-18,,2024-05-20,,,108427.99
D00114,C0387,R002,PipelineIQ Starter — Deal 0114,PipelineIQ Starter,12102.09,Negotiation,75,2024-10-17,,2025-01-03,,,9076.57
D00115,C0271,R001,PipelineIQ Starter — Deal 0115,PipelineIQ Starter,5670.74,Qualification,25,2023-10-22,,2023-12-20,,,1417.68
D00116,C0239,R005,PipelineIQ Pro — Deal 0116,PipelineIQ Pro,38713.39,Qualification,25,2024-02-18,,2024-04-26,,,9678.35
D00117,C0385,R005,PipelineIQ Enterprise — Deal 0117,PipelineIQ Enterprise,238657.07,Qualification,25,2024-08-14,,2024-10-05,,,59664.27
D00118,C0413,R005,PipelineIQ Pro — Deal 0118,PipelineIQ Pro,33321.46,Qualification,25,2024-05-26,,2024-06-12,,,8330.36
D00119,C0310,R003,PipelineIQ Starter — Deal 0119,PipelineIQ Starter,7068.93,Proposal,50,2023-11-02,,2023-11-17,,,3534.47
D00120,C0102,R001,PipelineIQ Pro — Deal 0120,PipelineIQ Pro,28390.03,Qualification,25,2023-11-19,,2024-01-21,,,7097.51
D00121,C0405,R002,PipelineIQ Starter — Deal 0121,PipelineIQ Starter,7155.7,Negotiation,75,2024-04-05,,2024-06-20,,,5366.77
D00122,C0009,R004,PipelineIQ Enterprise — Deal 0122,PipelineIQ Enterprise,77969.02,Negotiation,75,2023-09-08,,2023-09-27,,,58476.76
D00123,C0191,R004,PipelineIQ Starter — Deal 0123,PipelineIQ Starter,14036.64,Qualification,25,2024-04-22,,2024-06-21,,,3509.16
D00124,C0460,R001,PipelineIQ Starter — Deal 0124,PipelineIQ Starter,9632.99,Qualification,25,2023-09-09,,2023-09-28,,,2408.25
D00125,C0466,R001,PipelineIQ Enterprise — Deal 0125,PipelineIQ Enterprise,234549.35,Qualification,25,2023-12-25,,2024-02-23,,,58637.34
D00126,C0182,R001,PipelineIQ Pro — Deal 0126,PipelineIQ Pro,46046.63,Closed Won,100,2024-09-04,2024-10-12,,,38.0,46046.63
D00127,C0170,R004,PipelineIQ Enterprise — Deal 0127,PipelineIQ Enterprise,160321.35,Prospecting,10,2023-03-11,,2023-04-26,,,16032.14
D00128,C0382,R001,PipelineIQ Starter — Deal 0128,PipelineIQ Starter,8103.42,Proposal,50,2023-04-14,,2023-05-03,,,4051.71
D00129,C0267,R005,PipelineIQ Enterprise — Deal 0129,PipelineIQ Enterprise,162318.02,Prospecting,10,2023-08-12,,2023-11-01,,,16231.8
D00130,C0319,R005,PipelineIQ Pro — Deal 0130,PipelineIQ Pro,15844.89,Qualification,25,2024-04-16,,2024-05-31,,,3961.22
D00131,C0453,R005,PipelineIQ Pro — Deal 0131,PipelineIQ Pro,24972.45,Prospecting,10,2024-08-22,,2024-09-07,,,2497.25
D00132,C0400,R005,PipelineIQ Pro — Deal 0132,PipelineIQ Pro,41547.24,Qualification,25,2023-02-07,,2023-05-04,,,10386.81
D00133,C0170,R001,PipelineIQ Enterprise — Deal 0133,PipelineIQ Enterprise,195732.89,Proposal,50,2023-06-07,,2023-07-26,,,97866.45
D00134,C0391,R003,PipelineIQ Enterprise — Deal 0134,PipelineIQ Enterprise,192854.23,Negotiation,75,2023-05-28,,2023-06-16,,,144640.67
D00135,C0023,R004,PipelineIQ Starter — Deal 0135,PipelineIQ Starter,5931.9,Qualification,25,2023-08-14,,2023-08-20,,,1482.97
D00136,C0214,R004,PipelineIQ Pro — Deal 0136,PipelineIQ Pro,15424.02,Prospecting,10,2024-08-05,,2024-08-30,,,1542.4
D00137,C0084,R002,PipelineIQ Starter — Deal 0137,PipelineIQ Starter,9269.11,Proposal,50,2023-01-01,,2023-01-10,,,4634.56
D00138,C0469,R001,PipelineIQ Starter — Deal 0138,PipelineIQ Starter,7655.08,Proposal,50,2023-08-13,,2023-10-12,,,3827.54
D00139,C0416,R001,PipelineIQ Starter — Deal 0139,PipelineIQ Starter,14248.22,Proposal,50,2024-11-16,,2025-01-14,,,7124.11
D00140,C0281,R004,PipelineIQ Pro — Deal 0140,PipelineIQ Pro,36587.94,Closed Lost,0,2023-09-22,2023-12-05,,Poor fit,74.0,0.0
D00141,C0350,R005,PipelineIQ Enterprise — Deal 0141,PipelineIQ Enterprise,116119.97,Negotiation,75,2023-06-09,,2023-09-03,,,87089.98
D00142,C0418,R005,PipelineIQ Enterprise — Deal 0142,PipelineIQ Enterprise,167955.92,Negotiation,75,2023-09-09,,2023-10-08,,,125966.94
D00143,C0499,R005,PipelineIQ Starter — Deal 0143,PipelineIQ Starter,9338.73,Qualification,25,2023-11-04,,2024-01-07,,,2334.68
D00144,C0055,R005,PipelineIQ Enterprise — Deal 0144,PipelineIQ Enterprise,248262.58,Prospecting,10,2023-11-04,,2023-12-07,,,24826.26
D00145,C0464,R002,PipelineIQ Starter — Deal 0145,PipelineIQ Starter,10550.14,Closed Won,100,2023-09-12,2023-11-11,,,60.0,10550.14
D00146,C0381,R005,PipelineIQ Starter — Deal 0146,PipelineIQ Starter,14260.52,Negotiation,75,2024-01-07,,2024-02-29,,,10695.39
D00147,C0320,R001,PipelineIQ Pro — Deal 0147,PipelineIQ Pro,29675.2,Qualification,25,2023-09-06,,2023-09-27,,,7418.8
D00148,C0208,R003,PipelineIQ Pro — Deal 0148,PipelineIQ Pro,48197.21,Negotiation,75,2023-02-28,,2023-04-25,,,36147.91
D00149,C0061,R001,PipelineIQ Pro — Deal 0149,PipelineIQ Pro,20391.61,Proposal,50,2023-12-08,,2024-01-25,,,10195.81
D00150,C0110,R004,PipelineIQ Pro — Deal 0150,PipelineIQ Pro,23248.88,Closed Won,100,2024-02-10,2024-04-26,,,76.0,23248.88
D00151,C0173,R002,PipelineIQ Pro — Deal 0151,PipelineIQ Pro,30053.7,Qualification,25,2024-09-17,,2024-10-09,,,7513.43
D00152,C0043,R001,PipelineIQ Starter — Deal 0152,PipelineIQ Starter,10979.82,Proposal,50,2023-04-14,,2023-04-25,,,5489.91
D00153,C0332,R004,PipelineIQ Enterprise — Deal 0153,PipelineIQ Enterprise,51697.97,Proposal,50,2023-04-05,,2023-07-04,,,25848.99
D00154,C0150,R002,PipelineIQ Starter — Deal 0154,PipelineIQ Starter,14918.37,Prospecting,10,2023-02-03,,2023-02-21,,,1491.84
D00155,C0045,R003,PipelineIQ Pro — Deal 0155,PipelineIQ Pro,38755.89,Closed Won,100,2024-11-13,2024-12-31,,,48.0,38755.89
D00156,C0043,R001,PipelineIQ Starter — Deal 0156,PipelineIQ Starter,6652.22,Qualification,25,2023-02-09,,2023-04-25,,,1663.06
D00157,C0201,R002,PipelineIQ Starter — Deal 0157,PipelineIQ Starter,11143.63,Closed Won,100,2023-06-24,2023-10-17,,,115.0,11143.63
D00158,C0426,R005,PipelineIQ Pro — Deal 0158,PipelineIQ Pro,18763.85,Proposal,50,2024-06-22,,2024-07-02,,,9381.92
D00159,C0330,R005,PipelineIQ Enterprise — Deal 0159,PipelineIQ Enterprise,106888.97,Prospecting,10,2023-09-24,,2023-10-15,,,10688.9
D00160,C0017,R002,PipelineIQ Enterprise — Deal 0160,PipelineIQ Enterprise,152978.29,Proposal,50,2024-12-06,,2025-01-12,,,76489.15
D00161,C0488,R004,PipelineIQ Pro — Deal 0161,PipelineIQ Pro,44825.48,Negotiation,75,2024-04-08,,2024-05-24,,,33619.11
D00162,C0407,R004,PipelineIQ Enterprise — Deal 0162,PipelineIQ Enterprise,111279.75,Negotiation,75,2024-03-04,,2024-04-04,,,83459.81
D00163,C0019,R004,PipelineIQ Pro — Deal 0163,PipelineIQ Pro,38318.94,Qualification,25,2023-06-02,,2023-06-22,,,9579.74
D00164,C0065,R002,PipelineIQ Starter — Deal 0164,PipelineIQ Starter,5587.48,Closed Won,100,2023-04-21,2023-06-18,,,58.0,5587.48
D00165,C0297,R003,PipelineIQ Starter — Deal 0165,PipelineIQ Starter,12227.7,Qualification,25,2024-12-05,,2025-01-15,,,3056.93
D00166,C0483,R001,PipelineIQ Starter — Deal 0166,PipelineIQ Starter,12186.4,Qualification,25,2024-10-21,,2025-01-15,,,3046.6
D00167,C0018,R002,PipelineIQ Enterprise — Deal 0167,PipelineIQ Enterprise,160424.05,Proposal,50,2024-04-29,,2024-07-22,,,80212.02
D00168,C0431,R001,PipelineIQ Pro — Deal 0168,PipelineIQ Pro,20478.58,Prospecting,10,2023-02-20,,2023-02-25,,,2047.86
D00169,C0402,R004,PipelineIQ Pro — Deal 0169,PipelineIQ Pro,28634.57,Closed Won,100,2024-11-05,2024-12-26,,,51.0,28634.57
D00170,C0338,R003,PipelineIQ Enterprise — Deal 0170,PipelineIQ Enterprise,222514.88,Qualification,25,2024-12-25,,2025-02-18,,,55628.72
D00171,C0489,R002,PipelineIQ Pro — Deal 0171,PipelineIQ Pro,48532.28,Negotiation,75,2023-01-08,,2023-01-30,,,36399.21
D00172,C0453,R003,PipelineIQ Pro — Deal 0172,PipelineIQ Pro,29553.04,Proposal,50,2023-06-01,,2023-06-07,,,14776.52
D00173,C0214,R003,PipelineIQ Starter — Deal 0173,PipelineIQ Starter,7400.23,Proposal,50,2023-07-27,,2023-08-20,,,3700.11
D00174,C0173,R003,PipelineIQ Starter — Deal 0174,PipelineIQ Starter,12708.6,Proposal,50,2024-09-21,,2024-11-08,,,6354.3
D00175,C0076,R005,PipelineIQ Starter — Deal 0175,PipelineIQ Starter,6045.97,Negotiation,75,2023-07-26,,2023-08-23,,,4534.48
D00176,C0201,R005,PipelineIQ Pro — Deal 0176,PipelineIQ Pro,38812.45,Closed Won,100,2023-10-08,2023-12-15,,,68.0,38812.45
D00177,C0395,R005,PipelineIQ Enterprise — Deal 0177,PipelineIQ Enterprise,248726.21,Proposal,50,2023-07-21,,2023-09-15,,,124363.1
D00178,C0276,R005,PipelineIQ Enterprise — Deal 0178,PipelineIQ Enterprise,210055.89,Proposal,50,2024-07-14,,2024-08-21,,,105027.95
D00179,C0495,R004,PipelineIQ Pro — Deal 0179,PipelineIQ Pro,16557.98,Qualification,25,2024-08-26,,2024-11-15,,,4139.49
D00180,C0119,R004,PipelineIQ Starter — Deal 0180,PipelineIQ Starter,9745.18,Closed Won,100,2024-09-15,2024-11-28,,,74.0,9745.18
D00181,C0437,R003,PipelineIQ Pro — Deal 0181,PipelineIQ Pro,44218.08,Qualification,25,2023-11-04,,2024-01-27,,,11054.52
